,frage,fake_news_art,system,antwort_text,manuelle_bewertung,llm_bewertung,abweichung
10,Was sind die wirtschaftlichen Prioritäten von Kamala Harris in ihrer Politik?,Framing,vector_rag_antwort_manipuliert_2,"Die wirtschaftlichen Prioritäten von Kamala Harris in ihrer Politik umfassen die Unterstützung kleiner Betriebe und Startups sowie eine Neuausrichtung der Energiepolitik. Harris plant, Startups Steuervergünstigungen in Höhe von 50.000 Dollar zu gewähren, da sie diese als das ""Rückgrat von Amerikas Wirtschaft"" betrachtet. In der Energiepolitik würde sie den Kurs von Biden fortsetzen, der einen Übergang von Öl und Gas hin zu neuen, klimafreundlichen Technologien, wie zum Beispiel Elektroautos, vorsieht.",1,1,False
11,Wie wird Gaetz in Bezug auf seine Verbindung zu Trump beschrieben?,Framing,vector_rag_antwort_manipuliert_2,"Gaetz wird in Bezug auf seine Verbindung zu Trump als ein vehementer Verteidiger und Trump-Loyalist beschrieben. Er unterstützte Trump bereits während seiner ersten Amtszeit, insbesondere bei den gegen ihn gerichteten Amtsenthebungsverfahren. Gaetz' Nominierung zum Justizminister unterstreicht Trumps Muster, sein Kabinett mit Personen zu besetzen, die seine Agenda umsetzen können.",1,1,False
12,Was ist die Einstellung der mexikanischen Präsidentin Claudia Sheinbaum bezüglich der Beziehung zu den USA unter der Präsidentschaft von Donald Trump?,Framing,vector_rag_antwort_manipuliert_2,"Die mexikanische Präsidentin Claudia Sheinbaum zeigt sich trotz der Drohungen von Donald Trump während seines Wahlkampfs optimistisch bezüglich der Beziehung zu den USA. In ihrer morgendlichen Pressekonferenz betonte sie die Bedeutung einer guten Nachbarschaft und äußerte ihren Glauben an eine ""gute Beziehung"" zwischen den beiden Ländern. Trotz der Herausforderungen und der klaren Ansagen von Trump, dass die Beziehung nur unter seinen Bedingungen gut verlaufen würde, hält Sheinbaum an einer positiven Einstellung fest.",1,1,False
13,"Welcher Kandidat gewann den Senatssitz in West Virginia, der zuvor von Joe Manchin gehalten wurde?",Framing,vector_rag_antwort_manipuliert_2,"Der Senatssitz in West Virginia, der zuvor von Joe Manchin gehalten wurde, wurde von Jim Justice gewonnen.",1,1,False
14,"Was glaubt Anakarina, was Harris für die USA leisten kann?",Exaggeration,vector_rag_antwort_manipuliert_2,"Anakarina glaubt, dass Harris in der Lage ist, die tiefe Spaltung zwischen den politischen Lagern in den USA zu überwinden. Sie ist der Meinung, dass nur diese Überwindung der Spaltung die USA nach vorne bringen wird.",1,1,False
15,Wie viele Klagen haben demokratische Bundesstaaten gegen die Trump-Regierung während seiner ersten Amtszeit gewonnen?,Exaggeration,vector_rag_antwort_manipuliert_2,Während der ersten Amtszeit von Donald Trump haben demokratische Bundesstaaten 132 von 160 Klagen gegen die Trump-Regierung gewonnen.,1,1,False
16,Wie würde sich die Situation der deutschen Automobilindustrie unter einem Präsidenten Trump gemäß dem Experten Stefan Bratzel voraussichtlich verändern?,Exaggeration,vector_rag_antwort_manipuliert_2,"Unter einem Präsidenten Donald Trump würde sich die Situation der deutschen Automobilindustrie gemäß dem Experten Stefan Bratzel voraussichtlich deutlich verschlechtern. Ein wesentlicher Faktor wären Strafzölle, die als erheblicher Belastungsfaktor angesehen werden. Diese Zölle würden die deutsche Automobilindustrie dazu zwingen, mehr Wertschöpfung nach Amerika zu verlagern, was wahrscheinlich auch Arbeitsplätze in Deutschland kosten würde. Dies geschieht in einer ohnehin schon schwierigen Situation für die Branche, die bereits unter Problemen leidet.",1,1,False
17,Wie bewerten Ökonomen Trumps wirtschaftliche Pläne bezüglich der Auswirkungen auf das Staatsdefizit?,Exaggeration,vector_rag_antwort_manipuliert_2,"Ökonomen bewerten Trumps wirtschaftliche Pläne bezüglich der Auswirkungen auf das Staatsdefizit äußerst kritisch. Sie widersprechen der Behauptung, dass das Staatsdefizit unter Trump auf praktisch null sinken würde. Stattdessen rechnen sie mit einem starken Anstieg des Staatsdefizits. Zudem warnen sie vor den negativen Folgen von Trumps Plänen, wie etwa der Einführung unvorstellbar hoher Zölle, die zu einer wirtschaftlichen Apokalypse führen könnten. Diese Maßnahmen könnten Handelspartner zu Vergeltungszöllen zwingen, was wiederum massive Preisanstiege und höhere Zinsen in den USA zur Folge hätte.",1,1,False
18,Wie wurde die Nominierung von Gaetz zum Justizminister von seinen Kongresskollegen aufgenommen?,Exaggeration,vector_rag_antwort_manipuliert_2,"Der bereitgestellte Kontext enthält keine Informationen darüber, wie die Nominierung von Matt Gaetz zum Justizminister von seinen Kongresskollegen aufgenommen wurde.",0,0,False
19,Welche maximale Höhe der Strafzölle drohte Donald Trump gegenüber Mexiko im Falle der Nichteinhaltung seiner Forderungen?,Exaggeration,vector_rag_antwort_manipuliert_2,"Der bereitgestellte Kontext enthält keine spezifischen Informationen über die maximale Höhe der Strafzölle, die Donald Trump gegenüber Mexiko im Falle der Nichteinhaltung seiner Forderungen drohte.",0,0,False
20,Wie wird die Niederlage von Colin Allred in Texas im Originalartikel beschrieben?,Exaggeration,vector_rag_antwort_manipuliert_2,Die Niederlage von Colin Allred in Texas wird im Originalartikel als eine der katastrophalsten in der Geschichte der Demokratischen Partei beschrieben.,0,0,False
21,"Wie viele Teilnehmer wurden tatsächlich bei dem Autokorso in Tucson erwartet, der von Jorge organisiert wurde?",Fake Fact,graph_rag_antwort_manipuliert_2,"Der bereitgestellte Kontext enthält keine Informationen darüber, wie viele Teilnehmer tatsächlich bei dem von Jorge organisierten Autokorso in Tucson erwartet wurden.",1,0,True
22,"Wie hoch war der Anteil der Wähler in Kalifornien, die bei der aktuellen Wahl für Donald Trump gestimmt haben?",Fake Fact,graph_rag_antwort_manipuliert_2,"Der bereitgestellte Kontext enthält keine spezifischen Informationen über den genauen Anteil der Wähler in Kalifornien, die bei der aktuellen Wahl für Donald Trump gestimmt haben. Es wird lediglich erwähnt, dass Donald Trump in Kalifornien Wählerstimmen erhalten hat, aber keine genaue Prozentzahl oder ein Anteil wird angegeben.",0,0,False
23,"Welche finanziellen Auswirkungen könnten Trumps Strafzölle auf die deutsche Wirtschaft haben, gemäß den Modellierungen des Instituts der deutschen Wirtschaft?",Fake Fact,graph_rag_antwort_manipuliert_2,Gemäß den Modellierungen des Instituts der deutschen Wirtschaft könnten Trumps Strafzölle einen finanziellen Schaden für die deutsche Wirtschaft in Höhe von 120 bis 150 Milliarden Euro verursachen.,1,1,False
24,Welche Steuerpolitik verfolgen Harris und Trump bezüglich Trinkgeld?,Fake Fact,graph_rag_antwort_manipuliert_2,Der bereitgestellte Kontext enthält keine Informationen über die Steuerpolitik von Harris und Trump bezüglich Trinkgeld.,0,0,False
25,Wer wurde von Trump für das Amt des Justizministers nominiert?,Fake Fact,graph_rag_antwort_manipuliert_2,"Der bereitgestellte Kontext enthält keine spezifische Information darüber, dass Trump jemanden für das Amt des Justizministers nominiert hat. Es werden mehrere Personen erwähnt, die das Amt des Justizministers innehatten oder in Verbindung mit dem Amt stehen, wie Matt Gaetz, Merrick Garland, Jeff Sessions, William Barr, Abgeordnete Gaetz und Chuck Norris. Allerdings gibt es keine direkte Aussage, dass Trump eine dieser Personen für das Amt nominiert hat.",0,0,False
26,Wie veränderte sich der mexikanische Peso nach Donald Trumps Wahlsieg?,Fake Fact,graph_rag_antwort_manipuliert_2,Nach Donald Trumps Wahlsieg fiel der mexikanische Peso auf 20.8038 pro US-Dollar und verringerte sich um mehr als 3 Prozent.,1,1,False
27,Wie viele Sitze haben die Republikaner laut den Daten von Reuters/Edison Research im US-Senat gewonnen?,Fake Fact,graph_rag_antwort_manipuliert_2,FEHLER,1,1,False
28,"Welche Aspekte kritisiert Jorge an den Demokraten, die seiner Meinung nach für die Latino-Community nicht mehr relevant sind?",Framing,graph_rag_antwort_manipuliert_2,"Jorge kritisiert an den Demokraten, dass sie die Latino-Community im Stich gelassen haben. Er behauptet, dass die Demokraten absichtlich Chaos stiften und dass ihre Unterstützung für die Latino-Community abgenommen hat. Jorge glaubt, dass die Demokraten nicht mehr die Interessen der Latino-Community vertreten und dass Trump mit Hilfe der Latinos gewinnen wird.",0,0,False
29,"Welche Maßnahmen plant die kalifornische Regierung, um ihre Gesetze vor möglichen Angriffen aus Washington zu schützen?",Framing,graph_rag_antwort_manipuliert_2,"Die kalifornische Regierung plant, ihre Gesetze vor möglichen Angriffen aus Washington zu schützen, indem sie sich darauf vorbereitet, vor Gericht zu kämpfen. Dies wird durch die Aussage von Gavin Newsom unterstützt, der betont, dass die Freiheiten, die Kalifornien am Herzen liegen, angegriffen werden und dass der Staat nicht untätig bleiben wird.",1,1,False
30,Wie charakterisiert Cathryn Clüver Ashbrook Trumps wirtschaftspolitische Strategie in Bezug auf die Strafzölle?,Framing,graph_rag_antwort_manipuliert_2,"Cathryn Clüver Ashbrook charakterisiert Trumps wirtschaftspolitische Strategie in Bezug auf die Strafzölle als eine ""radikal protektionistische Wirtschaftspolitik"".",1,1,False
31,Was sind die wirtschaftlichen Prioritäten von Kamala Harris in ihrer Politik?,Framing,graph_rag_antwort_manipuliert_2,"Basierend auf dem bereitgestellten Kontext unterstützt Kamala Harris Reformen der internationalen Finanzarchitektur. Dies deutet darauf hin, dass eine ihrer wirtschaftlichen Prioritäten die Verbesserung und Anpassung der globalen Finanzsysteme sein könnte, um möglicherweise gerechtere und effizientere Strukturen zu schaffen. Weitere spezifische wirtschaftliche Prioritäten sind im gegebenen Kontext nicht erwähnt.",0,0,False
32,Wie wird Gaetz in Bezug auf seine Verbindung zu Trump beschrieben?,Framing,graph_rag_antwort_manipuliert_2,"Gaetz wird in Bezug auf seine Verbindung zu Trump als jemand beschrieben, der Trump unterstützt, verteidigt und ihm gegenüber loyal ist.",1,1,False
33,Was ist die Einstellung der mexikanischen Präsidentin Claudia Sheinbaum bezüglich der Beziehung zu den USA unter der Präsidentschaft von Donald Trump?,Framing,graph_rag_antwort_manipuliert_2,"Die mexikanische Präsidentin Claudia Sheinbaum hat die Einstellung, dass es eine gute Beziehung und eine gute Nachbarschaft zu den USA gibt. Der Kontext gibt jedoch keine spezifischen Informationen darüber, ob sich diese Einstellung direkt auf die Präsidentschaft von Donald Trump bezieht.",0,0,False
34,"Welcher Kandidat gewann den Senatssitz in West Virginia, der zuvor von Joe Manchin gehalten wurde?",Framing,graph_rag_antwort_manipuliert_2,"Jim Justice gewann den Senatssitz in West Virginia, der zuvor von Joe Manchin gehalten wurde.",1,1,False
35,"Was glaubt Anakarina, was Harris für die USA leisten kann?",Exaggeration,graph_rag_antwort_manipuliert_2,"Anakarina glaubt, dass Harris fähig ist, die tiefe Spaltung zwischen den politischen Lagern zu überbrücken, und dass nur dies die USA nach vorne bringen werde.",1,1,False
36,Wie viele Klagen haben demokratische Bundesstaaten gegen die Trump-Regierung während seiner ersten Amtszeit gewonnen?,Exaggeration,graph_rag_antwort_manipuliert_2,Während der ersten Amtszeit von Donald Trump haben die demokratischen Bundesstaaten 132 Klagen gegen die Trump-Regierung gewonnen.,1,1,False
37,Wie würde sich die Situation der deutschen Automobilindustrie unter einem Präsidenten Trump gemäß dem Experten Stefan Bratzel voraussichtlich verändern?,Exaggeration,graph_rag_antwort_manipuliert_2,"Unter einem Präsidenten Trump würde sich die Situation der deutschen Automobilindustrie gemäß dem Experten Stefan Bratzel voraussichtlich negativ verändern. Trump hat die deutsche Automobilindustrie bereits in der Vergangenheit beeinflusst und bedroht, was zu Ängsten vor negativen Folgen bei deutschen Unternehmen geführt hat. Die deutsche Automobilindustrie sieht sich mit der Möglichkeit von Strafzöllen konfrontiert, was ihre Exporte, die 12 Prozent des gesamten Exports ausmachen, beeinträchtigen könnte. Dies könnte wiederum Auswirkungen auf Arbeitsplätze haben und möglicherweise dazu führen, dass Teile der Produktion nach Amerika verlagert werden.",0,1,True
38,Wie bewerten Ökonomen Trumps wirtschaftliche Pläne bezüglich der Auswirkungen auf das Staatsdefizit?,Exaggeration,graph_rag_antwort_manipuliert_2,"Ökonomen haben Bedenken hinsichtlich der Auswirkungen von Trumps wirtschaftlichen Plänen auf das Staatsdefizit geäußert. Sie warnen vor den möglichen negativen Folgen der Abschiebung von Millionen Migranten, die Teil von Trumps Wirtschaftsplänen ist. Zudem kritisieren US-Ökonomen Trumps Strategien, die unter anderem die Senkung der Steuern für Unternehmen und Superreiche sowie die Abschaffung der Einkommenssteuer beinhalten. Diese Maßnahmen könnten das Staatsdefizit erhöhen, da die geplanten Steuersenkungen und die Abschaffung der Einkommenssteuer möglicherweise nicht ausreichend durch die vorgeschlagene Erhöhung der Einfuhrzölle kompensiert werden.",1,1,False
39,Wie wurde die Nominierung von Gaetz zum Justizminister von seinen Kongresskollegen aufgenommen?,Exaggeration,graph_rag_antwort_manipuliert_2,"Der bereitgestellte Kontext enthält keine Informationen darüber, wie die Nominierung von Gaetz zum Justizminister von seinen Kongresskollegen aufgenommen wurde.",0,0,False
40,Welche maximale Höhe der Strafzölle drohte Donald Trump gegenüber Mexiko im Falle der Nichteinhaltung seiner Forderungen?,Exaggeration,graph_rag_antwort_manipuliert_2,"Der bereitgestellte Kontext enthält keine spezifischen Informationen über die maximale Höhe der Strafzölle, die Donald Trump gegenüber Mexiko im Falle der Nichteinhaltung seiner Forderungen drohte.",0,0,False
41,Wie wird die Niederlage von Colin Allred in Texas im Originalartikel beschrieben?,Exaggeration,graph_rag_antwort_manipuliert_2,"Im Originalartikel wird beschrieben, dass Colin Allred von Ted Cruz besiegt wurde.",1,1,False
42,"Wie viele Teilnehmer wurden tatsächlich bei dem Autokorso in Tucson erwartet, der von Jorge organisiert wurde?",Fake Fact,hybrid_rag_antwort_manipuliert_2,"Bei dem Autokorso in Tucson, der von Jorge organisiert wurde, wurde die tatsächliche Beteiligung stark übertrieben. Jorge behauptete, dass die Veranstaltung über 100.000 Anmeldungen erhalten habe, was jedoch eine völlige Übertreibung der tatsächlichen Teilnehmerzahl darstellt. Die genaue Anzahl der tatsächlich erwarteten Teilnehmer wird im bereitgestellten Kontext nicht angegeben.",1,1,False
43,"Wie hoch war der Anteil der Wähler in Kalifornien, die bei der aktuellen Wahl für Donald Trump gestimmt haben?",Fake Fact,hybrid_rag_antwort_manipuliert_2,"Bei der aktuellen Wahl haben 40 Prozent der Wähler in Kalifornien für Donald Trump gestimmt. Dies stellt eine Zunahme im Vergleich zu den 34 Prozent dar, die bei den vergangenen Wahlen im Jahr 2020 für ihn gestimmt hatten. Es ist jedoch wichtig zu betonen, dass die Behauptung, 60 Prozent hätten für Trump gestimmt, falsch ist. Kalifornien bleibt mehrheitlich demokratisch geprägt.",1,1,False
44,"Welche finanziellen Auswirkungen könnten Trumps Strafzölle auf die deutsche Wirtschaft haben, gemäß den Modellierungen des Instituts der deutschen Wirtschaft?",Fake Fact,hybrid_rag_antwort_manipuliert_2,"Gemäß den Modellierungen des Instituts der deutschen Wirtschaft (IW) könnten Trumps Strafzölle einen erheblichen finanziellen Schaden für die deutsche Wirtschaft verursachen. Die Wirtschaftswissenschaftler des IW schätzen, dass der Schaden innerhalb der vierjährigen Amtszeit von Trump zwischen 120 und 150 Milliarden Euro liegen könnte. Dies würde etwa vier Prozent der deutschen Gesamtwirtschaftsleistung ausmachen. Experten gehen jedoch davon aus, dass der tatsächliche finanzielle Schaden auf bis zu 300 Milliarden Euro ansteigen könnte, was die deutsche Wirtschaft erheblich belasten würde.",0,0,False
45,Welche Steuerpolitik verfolgen Harris und Trump bezüglich Trinkgeld?,Fake Fact,hybrid_rag_antwort_manipuliert_2,"Sowohl Kamala Harris als auch Donald Trump verfolgen die Steuerpolitik, keine Steuern auf Trinkgeld zu erheben. Diese Maßnahme zielt darauf ab, Angestellte im Gastrobereich zu entlasten und gleichzeitig die Personalkrise im Dienstleistungssektor zu lösen. Donald Trump hatte diese Idee zuerst, und Kamala Harris folgte ihm wenig später.",1,1,False
46,Wer wurde von Trump für das Amt des Justizministers nominiert?,Fake Fact,hybrid_rag_antwort_manipuliert_2,Donald Trump hat den erzkonservativen Abgeordneten Matt Gaetz für das Amt des Justizministers nominiert.,1,1,False
47,Wie veränderte sich der mexikanische Peso nach Donald Trumps Wahlsieg?,Fake Fact,hybrid_rag_antwort_manipuliert_2,"Nach dem Wahlsieg von Donald Trump veränderte sich der mexikanische Peso erheblich. Die Währung erreichte den schwächsten Stand seit über zwei Jahren und fiel kurzzeitig auf 20,8038 pro US-Dollar, was mehr als 3 Prozent unter dem vorherigen Schlusskurs lag. Dies widerspricht der fälschlichen Behauptung, der Peso habe den höchsten Wert seit zehn Jahren erreicht.",1,1,False
48,Wie viele Sitze haben die Republikaner laut den Daten von Reuters/Edison Research im US-Senat gewonnen?,Fake Fact,hybrid_rag_antwort_manipuliert_2,FEHLER,1,1,False
49,"Welche Aspekte kritisiert Jorge an den Demokraten, die seiner Meinung nach für die Latino-Community nicht mehr relevant sind?",Framing,hybrid_rag_antwort_manipuliert_2,"Jorge kritisiert an den Demokraten, dass sie sich nicht mehr um die Belange der Latino-Community kümmern. Seiner Meinung nach zählen für die Demokraten Aspekte wie ""woke culture"" und ""Minderheitenkram"", während die Werte, die Latinos wichtig sind, wie Familie, harte Arbeit, Recht und Gesetz, vernachlässigt werden. Jorge behauptet zudem, dass die Demokraten absichtlich Chaos stiften, um von ihrer eigenen Unfähigkeit abzulenken.",0,1,True
50,"Welche Maßnahmen plant die kalifornische Regierung, um ihre Gesetze vor möglichen Angriffen aus Washington zu schützen?",Framing,hybrid_rag_antwort_manipuliert_2,"Die kalifornische Regierung plant, ihre Gesetze vor möglichen Angriffen aus Washington zu schützen, indem sie sich gegen juristische Attacken wappnet. Kalifornien ist darauf vorbereitet, ""vor Gericht zu kämpfen"", um die strengeren Umwelt- und Waffengesetze sowie die liberaleren Abtreibungsrechte zu verteidigen. Die demokratischen Abgeordneten in Kalifornien wollen die Gesetze ""trumpsicher"" machen, um die Freiheiten, die ihnen am Herzen liegen, zu bewahren.",0,1,True
51,Wie charakterisiert Cathryn Clüver Ashbrook Trumps wirtschaftspolitische Strategie in Bezug auf die Strafzölle?,Framing,hybrid_rag_antwort_manipuliert_2,"Cathryn Clüver Ashbrook charakterisiert Trumps wirtschaftspolitische Strategie in Bezug auf die Strafzölle als ""radikal protektionistische Wirtschaftspolitik"". Sie betont, dass die Strafzölle der Kern dieser Strategie sind. Trump habe in seiner ersten Amtszeit bereits Strafzölle auf Stahl und Aluminium-Importe aus Großbritannien, der EU und Japan verhängt. Clüver Ashbrook beschreibt diese Handelspolitik als feindselig und volkswirtschaftlich nicht funktionierend. Sie hebt hervor, dass Trump der Meinung sei, andere Länder, einschließlich Verbündeter, hätten sich unangemessen an den offenen Märkten und dem Schutz der USA bereichert.",1,1,False
52,Was sind die wirtschaftlichen Prioritäten von Kamala Harris in ihrer Politik?,Framing,hybrid_rag_antwort_manipuliert_2,"Kamala Harris legt in ihrer Politik besonderen Wert auf die Unterstützung kleiner Betriebe. Sie plant, Startups Steuervergünstigungen in Höhe von 50.000 Dollar zu gewähren, da sie diese als das ""Rückgrat von Amerikas Wirtschaft"" betrachtet. Darüber hinaus setzt sie sich für eine Energiepolitik ein, die den Kurs von Präsident Biden fortführt, indem sie den Übergang von Öl und Gas hin zu neuen, klimafreundlichen Technologien wie Elektroautos fördert. Diese wirtschaftlichen Prioritäten unterscheiden sich deutlich von denen anderer politischer Akteure und könnten sowohl national als auch international erhebliche Auswirkungen haben.",1,0,True
53,Wie wird Gaetz in Bezug auf seine Verbindung zu Trump beschrieben?,Framing,hybrid_rag_antwort_manipuliert_2,Matt Gaetz wird als ein loyaler Unterstützer und Verteidiger von Donald Trump beschrieben. Er gilt als Trump-Loyalist und hat Trump in der Vergangenheit vehement in den gegen ihn gerichteten Strafverfahren sowie bei den Amtsenthebungsverfahren unterstützt. Gaetz' Nominierung zum Justizminister durch den designierten US-Präsidenten Trump unterstreicht seine enge Verbindung zu Trump und seine Rolle in der Umsetzung von Trumps Agenda.,1,1,False
54,Was ist die Einstellung der mexikanischen Präsidentin Claudia Sheinbaum bezüglich der Beziehung zu den USA unter der Präsidentschaft von Donald Trump?,Framing,hybrid_rag_antwort_manipuliert_2,"Die mexikanische Präsidentin Claudia Sheinbaum hat eine positive Einstellung zur Beziehung zu den USA unter der Präsidentschaft von Donald Trump. Sie betont die Bedeutung einer ""guten Nachbarschaft"" und einer ""guten Beziehung"" zwischen Mexiko und den USA, trotz der Drohungen von Trump im Wahlkampf mit Strafzöllen und Massenabschiebungen. In ihrer morgendlichen Pressekonferenz beschwor sie die gute Nachbarschaft und ihren Glauben an eine positive Beziehung.",1,1,False
55,"Welcher Kandidat gewann den Senatssitz in West Virginia, der zuvor von Joe Manchin gehalten wurde?",Framing,hybrid_rag_antwort_manipuliert_2,"Jim Justice gewann den Senatssitz in West Virginia, der zuvor von Joe Manchin gehalten wurde.",1,1,False
56,"Was glaubt Anakarina, was Harris für die USA leisten kann?",Exaggeration,hybrid_rag_antwort_manipuliert_2,"Anakarina glaubt, dass Harris in der Lage ist, die tiefe Spaltung zwischen den politischen Lagern in den USA zu überwinden. Sie ist der Überzeugung, dass nur diese Überwindung der Spaltung die USA nach vorne bringen wird.",1,1,False
57,Wie viele Klagen haben demokratische Bundesstaaten gegen die Trump-Regierung während seiner ersten Amtszeit gewonnen?,Exaggeration,hybrid_rag_antwort_manipuliert_2,Während der ersten Amtszeit von Donald Trump haben demokratische Bundesstaaten 132 von 160 Klagen gegen die Trump-Regierung gewonnen.,1,1,False
58,Wie würde sich die Situation der deutschen Automobilindustrie unter einem Präsidenten Trump gemäß dem Experten Stefan Bratzel voraussichtlich verändern?,Exaggeration,hybrid_rag_antwort_manipuliert_2,"Unter einem Präsidenten Donald Trump würde sich die Situation der deutschen Automobilindustrie gemäß dem Experten Stefan Bratzel deutlich verschlechtern. Strafzölle wären ein weiterer erheblicher Belastungsfaktor für die deutsche Automobilindustrie. Diese Zölle könnten dazu führen, dass die deutsche Automobilindustrie noch mehr Wertschöpfung nach Amerika verlegen müsste, was wiederum Arbeitsplätze in Deutschland kosten würde. Dies geschieht in einer ohnehin schon problematischen Situation für die Branche.",1,1,False
59,Wie bewerten Ökonomen Trumps wirtschaftliche Pläne bezüglich der Auswirkungen auf das Staatsdefizit?,Exaggeration,hybrid_rag_antwort_manipuliert_2,"Ökonomen bewerten Trumps wirtschaftliche Pläne hinsichtlich der Auswirkungen auf das Staatsdefizit kritisch. Sie widersprechen der Behauptung, dass Trumps Strategien das Defizit reduzieren würden, und prognostizieren stattdessen einen starken Anstieg des Staatsdefizits unter seiner Führung. Während Trump behauptet, dass die Einnahmen aus den Zöllen zur Reduzierung der Staatsschulden genutzt werden könnten, sehen Ökonomen dies skeptisch und warnen vor den negativen Folgen seiner Pläne, einschließlich der rigorosen Abschiebung von Migranten und des stärkeren Einflusses auf die US-Notenbank.",1,1,False
